,tpv medio,segmento_ord,mcc_ord,bairro_ord,cidade_ord,regiao_ord,uf_ord,subcanal_de_vendas_ord,prob_default_60d,prob_default_mar,estimativa_limite,estimativa_juros_parcelados,estimativa_juros_rotativo
3530,30500.0,14,78,1297,492,5,24,3,0.7022575886134602,0.7797154132859875,21023.469,4.1018353,10.25458812713623
3531,18000.0,10,92,1297,173,3,15,3,0.8697663858383408,0.930289028539284,14263.285,4.588805,11.472012996673584
3532,10000.0,18,81,1295,354,3,15,1,0.8830227949938831,0.7436979062634719,9619.214,4.7663116,11.915779113769531
3533,60000.0,14,78,1318,385,3,14,2,0.7654101313515845,0.7696599833756933,64522.594,1.5999348,3.999837040901184
3534,7000.0,17,100,1430,377,5,20,2,0.8820133286837577,0.7333871810206075,5457.041,5.8284745,14.571186304092407
3535,120000.0,13,91,1404,405,3,15,2,0.6505631971946307,0.7906100013440756,31678.34,2.303185,5.757962465286255
3536,30000.0,24,113,1297,470,1,7,2,0.7770380960049073,0.7257522237659232,22357.867,3.6123786,9.030946493148804
3537,8000.0,4,66,856,404,3,15,2,0.9264812255734952,0.8994341510655982,5850.1646,6.4069295,16.0173237323761
3538,15000.0,4,72,1016,325,3,14,2,0.8521736860633483,0.8959243533304725,13941.105,4.9618,12.404500246047974
3539,15000.0,15,88,1241,290,1,8,2,0.49400272818186003,0.8769639836715322,14925.145,5.361216,13.403040170669556
3540,10000.0,26,119,1324,450,1,7,2,0.8985185199058444,0.7511150450765237,12291.369,4.3199434,10.799858570098877
3541,20000.0,11,125,1216,420,3,19,4,0.5761816660529729,0.9597038497948215,21781.64,3.6388514,9.097128510475159
3542,10000.0,2,75,1052,405,3,15,2,0.9170389061409868,0.8786974777791539,9187.461,5.6306515,14.076628684997559
3543,20000.0,10,92,1295,376,3,15,4,0.8363386329969931,0.7558236059669392,19198.89,4.2311254,10.577813386917114
3544,30000.0,23,130,1295,465,3,15,2,0.7982590042371923,0.7256945641510263,26082.906,3.1951904,7.98797607421875
3545,21000.0,4,66,1295,349,3,15,2,0.8741861487257285,0.8602889143204192,15040.965,3.9118,9.779499769210815
3546,55000.0,11,125,1295,385,3,14,2,0.8020917237196764,0.9389116138634225,65038.63,1.8763297,4.6908241510391235
3547,170000.0,9,90,1295,405,3,15,2,0.862571153958752,0.9179179013146032,115009.99,1.9730353,4.932588338851929
3548,25000.0,10,92,281,440,3,14,2,0.9761455754038401,0.9738482609942594,23916.158,3.5182765,8.795691132545471
3549,20000.0,25,120,1297,418,3,19,1,0.8741325031504092,0.9085013555122311,18954.615,4.6291227,11.57280683517456
3550,40000.0,23,110,564,405,3,15,2,0.9813213160205688,0.9880560391787948,27246.203,3.4494514,8.623628616333008
3551,25000.0,21,108,754,416,3,15,2,0.9730148261319794,0.9775165220158675,24344.39,3.8930886,9.732721447944641
3552,40000.0,18,112,20,385,3,14,2,0.9901814425364147,0.9930144187706733,37463.582,2.9222078,7.3055195808410645
3553,15000.0,15,88,34,405,3,15,2,0.9845918564139002,0.9855442269218551,14244.758,4.580968,11.452419757843018
3554,30000.0,11,64,1295,495,5,20,2,0.750414913085741,0.8527987185997619,27207.34,3.9101422,9.775355458259583
3555,20000.0,26,119,1634,462,1,7,2,0.4733794281048991,0.47691758707815374,14180.481,4.7245502,11.811375617980957
3556,15000.0,25,120,395,452,3,15,2,0.9862079318608519,0.9883483901020339,12188.379,4.8149567,12.037391662597656
3557,10000.0,14,87,1020,425,3,14,2,0.9345576440983921,0.9245894391158155,9315.288,5.2912445,13.228111267089844
3558,25000.0,14,78,1297,444,3,15,2,0.7352927319827781,0.7481921200244855,24153.768,4.0561094,10.140273571014404
3559,20000.0,21,108,1295,452,3,15,2,0.8170553149029768,0.7557825725933741,15499.911,4.7606306,11.901576519012451
3560,20000.0,18,116,1281,372,4,10,2,0.6513202680529951,0.7591419382156387,18836.6,3.6961546,9.240386486053467
3561,10000.0,10,92,4,366,1,8,2,0.9699961037922957,0.9634919143986066,8382.462,5.0608983,12.65224575996399
3562,25000.0,21,108,1295,14,1,8,2,0.8594132961025439,0.9463357339118157,24235.305,2.91699,7.29247510433197
3563,20000.0,2,75,216,396,3,14,2,0.9689547192537428,0.9583725745574997,19886.455,3.3518674,8.379668593406677
3564,35000.0,10,92,40,372,4,10,2,0.9778316989513453,0.9789689400128484,34355.887,3.135533,7.83883273601532
3565,51000.0,21,108,1309,405,3,15,2,0.7721349711429749,0.6309985213502874,58168.08,2.0170317,5.042579174041748
3566,3000.0,17,114,1506,366,1,8,2,0.7447792786452757,0.2519742941070609,2081.9053,6.2897687,15.724421739578247
3567,16000.0,14,87,1641,436,3,15,1,0.41520146411988,0.3358516373969127,17668.88,3.568238,8.920595049858093
3568,38000.0,6,77,1462,385,3,14,2,0.5514241015077959,0.4732864813138054,33351.95,2.844266,7.1106648445129395
3569,20000.0,14,78,1297,96,5,4,2,0.8542425906394996,0.8619698430528192,18070.465,4.147024,10.367560386657715
3570,8000.0,10,92,1297,40,1,8,1,0.8887176610724121,0.8787980454091219,7527.728,5.365045,13.412612676620483
3571,30000.0,13,98,1352,366,1,8,2,0.7133042295403239,0.7105086442837045,24170.826,4.977297,12.443242073059082
3572,30000.0,14,87,1295,13,5,4,2,0.8759093890901094,0.8934387080106209,20426.082,3.6047535,9.011883735656738
